TimeBlock,CarrierMin,WeatherMin,NASMin,LateAircraftMin,SecurityMin
00,1038695,161462,234245,288040,2378
06,2240393,261705,655739,549832,6936
07,2163244,257835,916717,671131,6178
08,1908420,224415,993922,1004819,5035
09,1383324,197202,835923,1125753,3971
10,1530648,245941,965786,1666099,5737
11,1627339,256072,1138453,1964522,6254
12,1712636,374211,1288857,2249150,7173
13,1681400,351971,1432908,2403146,8367
14,1883251,504270,1796880,2828754,6446
15,1920373,509971,1964289,2957789,8841
16,1977620,575219,2054358,3328890,9556
17,2443351,734855,2396659,4183314,10992
18,2321483,622124,1910790,4230391,10385
19,2167573,530624,1540654,4269032,9028
20,1800977,400470,974672,3217883,7793
21,1476459,327946,557468,2145803,7813
22,1147940,226806,303579,1351501,3203
23,292253,20408,64474,251701,975
